"Total Deaths due to Climate Change (by country)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"USA"	10488.18	44130.83	67914.95	79421.05	75055.46	52023.82	5602.11	-68140.12	-171084.73	-300468.70	-451105.19	-616095.82	-788876.13	-961974.30	-1128169.21	-1281929.84	-1419102.39	-1536696.65	-1633036.35
"CAN"	598.31	8221.60	18851.11	33127.80	51960.76	78113.67	112642.31	155514.29	205277.96	259979.39	318167.46	380054.86	442544.64	500840.37	552695.15	596766.66	632500.64	660237.09	679912.05
"ARG"	762.23	908.36	1033.89	1082.82	1016.35	800.86	343.80	-464.24	-1455.42	-2640.10	-3948.46	-5264.31	-6509.71	-7727.44	-8871.91	-9898.49	-10777.39	-11501.34	-12079.76
"ARM"	97.28	5.83	-93.40	-226.16	-385.18	-526.83	-654.73	-810.11	-1023.87	-1301.61	-1498.65	-1562.05	-1589.47	-1657.19	-1679.62	-1669.22	-1623.60	-1564.68	-1516.48
"AUS"	156.26	1149.07	2025.72	2584.92	2712.33	2499.68	1762.26	165.83	-2464.00	-6042.86	-9820.29	-13527.17	-17427.44	-21568.86	-25507.86	-29140.23	-32359.20	-35133.59	-37428.38
"AUT"	72.34	-4.41	-145.59	-396.55	-810.19	-1359.68	-1944.17	-2545.63	-3244.15	-3946.35	-4689.31	-5396.11	-6080.69	-6754.45	-7422.71	-8059.35	-8652.76	-9173.54	-9605.56
"AZE"	292.76	99.18	-124.80	-453.10	-912.63	-1374.18	-1792.34	-2198.90	-2794.78	-3599.78	-4306.18	-4584.90	-4559.31	-4658.97	-5031.24	-5317.60	-5408.69	-5357.96	-5305.23
"BDI"	8344.97	7824.98	6413.55	4624.62	3046.48	2071.55	1568.37	1319.66	1221.44	1215.25	1288.22	1456.68	1708.50	1981.73	2257.71	2552.59	2903.65	3320.08	3826.18
"BEL"	366.39	252.13	37.02	-308.71	-819.24	-1464.61	-2184.58	-2963.21	-3817.15	-4706.19	-5641.92	-6514.41	-7411.70	-8374.59	-9301.11	-10163.80	-10934.58	-11591.00	-12146.57
"BEN"	3175.17	2826.16	2186.94	1501.38	947.47	622.02	466.61	408.99	413.52	457.46	526.82	616.46	719.92	827.62	935.14	1038.68	1137.20	1229.44	1322.27
"BFA"	23853.03	18867.50	13486.73	8817.39	5416.07	3479.14	2509.86	2046.71	1881.53	1896.72	2030.59	2277.47	2631.64	3041.25	3490.68	3980.77	4526.93	5131.57	5850.67
"BGD"	19466.93	15043.36	10932.24	7530.46	4905.50	3251.32	2483.82	2155.40	2048.39	2076.17	2141.41	2189.70	2273.99	2580.47	2781.89	2915.87	3008.02	3158.28	3193.28
"BGR"	25.39	99.05	41.20	-138.29	-430.63	-875.39	-1497.59	-2233.78	-3014.95	-3811.19	-4408.60	-4864.77	-5290.46	-5745.68	-6200.45	-6614.25	-6953.30	-7206.38	-7393.22
"BHR"	12.75	5.10	-1.25	-17.00	-38.94	-70.45	-119.98	-167.46	-273.80	-421.27	-539.91	-614.40	-642.88	-655.95	-670.62	-668.89	-669.47	-673.81	-680.67
"BHS"	3.69	3.70	4.05	4.68	5.63	6.92	8.53	10.30	12.28	14.35	16.50	18.50	20.13	21.66	23.11	24.42	25.59	26.60	27.42
"BIH"	8.85	87.43	90.60	0.37	-218.76	-533.12	-909.88	-1358.53	-1905.46	-2516.25	-3126.33	-3717.39	-4178.35	-4455.87	-4673.44	-4860.71	-5021.56	-5153.15	-5238.73
"BLR"	276.26	-59.21	-389.76	-787.81	-1206.09	-1554.14	-1875.61	-2185.44	-2568.69	-2983.02	-3145.37	-3028.27	-2870.95	-2893.29	-2990.87	-3103.27	-3155.06	-3121.96	-3063.35
"BLZ"	14.39	11.32	8.83	6.16	4.91	5.00	6.30	8.59	11.65	15.44	19.76	24.37	29.08	33.67	37.98	41.69	44.74	47.05	48.52
"BOL"	2618.38	2523.85	2470.54	2347.23	2167.72	2000.34	1858.54	1706.46	1513.10	1234.41	871.21	476.11	89.15	-235.91	-598.14	-906.19	-1136.57	-1263.41	-1260.33
"BRA"	8213.88	8833.06	8691.85	8382.71	7148.22	4978.47	1841.45	-2632.11	-8382.55	-14501.39	-20559.32	-26813.76	-32752.33	-37341.37	-41151.82	-44205.21	-46546.63	-48190.14	-49181.10
"BRB"	7.30	4.97	4.24	4.17	4.52	5.21	6.16	7.21	8.35	9.53	10.72	11.82	12.84	13.80	14.67	15.47	16.22	16.90	17.51
"BRN"	5.39	4.80	4.16	3.75	3.54	3.58	3.92	4.67	5.83	7.01	8.19	9.47	10.53	11.65	12.70	13.75	14.69	15.45	16.14
"BTN"	96.97	82.03	64.79	51.79	42.79	38.10	37.74	39.64	41.71	44.19	48.07	53.76	60.60	67.58	73.20	78.61	83.73	88.65	93.76
"BWA"	338.30	228.05	154.00	130.74	113.03	102.08	88.13	75.31	67.05	64.46	66.51	72.40	81.17	90.78	100.12	109.10	117.08	124.08	130.30
"CHE"	419.71	333.30	178.34	-55.26	-447.22	-977.32	-1580.23	-2282.58	-3139.39	-4119.09	-5188.02	-6274.09	-7342.88	-8401.41	-9438.67	-10432.44	-11358.70	-12167.61	-12830.69
"CHL"	264.68	326.12	368.87	343.36	221.24	21.20	-260.54	-594.47	-1036.56	-1576.63	-2154.31	-2674.06	-3142.37	-3570.56	-3947.00	-4265.09	-4524.31	-4729.34	-4890.49
"CHN"	4716.15	103546.05	185677.03	246347.31	275454.23	268490.54	225422.05	143114.12	27062.57	-94428.37	-233705.80	-400292.81	-574772.12	-731427.44	-855411.58	-964515.22	-1065988.98	-1154189.06	-1223230.05
"CIV"	20616.59	18940.45	15272.28	11020.91	7320.90	4984.03	3725.15	3075.23	2809.21	2777.39	2901.49	3191.81	3672.30	4268.10	4930.44	5690.56	6588.28	7640.32	8958.31
"CMR"	12037.26	10067.43	7462.87	4983.32	3101.96	2024.81	1505.28	1289.92	1257.18	1339.28	1503.52	1744.61	2047.17	2377.02	2720.10	3072.09	3439.39	3821.39	4244.41
"COL"	1858.94	1998.47	2133.23	2135.13	1931.04	1500.64	880.57	-63.85	-1298.26	-2778.62	-4444.31	-6158.47	-7845.77	-9465.87	-10927.35	-12180.51	-13205.61	-14002.17	-14584.94
