"GDP by Region (2005 US dollars)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"USA"	1.300000E+13	1.485532E+13	1.751368E+13	1.971813E+13	2.198165E+13	2.404558E+13	2.571124E+13	2.701325E+13	2.794943E+13	2.942895E+13	3.122006E+13	3.318537E+13	3.435350E+13	3.547722E+13	3.687417E+13	3.759577E+13	3.835632E+13	3.890723E+13	3.888169E+13
"CAN"	1.160000E+12	1.383499E+12	1.647495E+12	1.837329E+12	2.066270E+12	2.379414E+12	2.689575E+12	2.978584E+12	3.219034E+12	3.474128E+12	3.823958E+12	4.204269E+12	4.536289E+12	4.712704E+12	4.865030E+12	4.891257E+12	4.846671E+12	4.855705E+12	4.861635E+12
"WEU"	1.311544E+13	1.418266E+13	1.557233E+13	1.684348E+13	1.843667E+13	2.026651E+13	2.192910E+13	2.319943E+13	2.403559E+13	2.495580E+13	2.626928E+13	2.732725E+13	2.799177E+13	2.811729E+13	2.834211E+13	2.832501E+13	2.833376E+13	2.838242E+13	2.832612E+13
"JPK"	5.260000E+12	5.709704E+12	6.173357E+12	6.716314E+12	7.199767E+12	7.512745E+12	7.588338E+12	7.670775E+12	7.617304E+12	7.631613E+12	7.491221E+12	7.322956E+12	7.136421E+12	6.812426E+12	6.537662E+12	6.295595E+12	6.047801E+12	5.784500E+12	5.542745E+12
"ANZ"	9.140000E+11	1.140682E+12	1.409993E+12	1.682089E+12	1.991330E+12	2.348437E+12	2.705116E+12	3.071922E+12	3.345937E+12	3.618322E+12	3.993351E+12	4.327275E+12	4.560145E+12	4.675654E+12	4.743665E+12	4.735997E+12	4.728406E+12	4.741169E+12	4.708276E+12
"EEU"	1.785759E+12	1.998542E+12	2.307275E+12	2.580177E+12	2.862232E+12	3.077137E+12	3.136116E+12	3.074332E+12	3.000030E+12	2.956705E+12	2.974557E+12	3.002626E+12	2.924373E+12	2.779584E+12	2.651760E+12	2.534557E+12	2.454888E+12	2.409046E+12	2.357356E+12
"FSU"	3.656438E+12	4.312739E+12	5.066495E+12	5.970006E+12	6.927658E+12	7.591414E+12	7.654995E+12	7.309307E+12	6.784792E+12	6.551596E+12	6.674759E+12	6.680369E+12	6.288933E+12	5.728011E+12	5.391270E+12	5.170391E+12	5.064006E+12	4.916731E+12	4.578030E+12
"MDE"	3.830128E+12	5.038763E+12	6.474303E+12	8.047764E+12	1.008796E+13	1.210596E+13	1.368119E+13	1.488948E+13	1.559712E+13	1.633093E+13	1.719564E+13	1.771191E+13	1.758653E+13	1.712732E+13	1.684913E+13	1.645242E+13	1.609932E+13	1.555913E+13	1.458740E+13
"CAM"	1.559874E+12	1.923055E+12	2.332966E+12	2.880053E+12	3.590238E+12	4.398554E+12	5.089048E+12	5.703792E+12	6.224833E+12	6.568106E+12	6.745026E+12	6.841379E+12	6.743649E+12	6.599686E+12	6.467705E+12	6.238522E+12	5.931757E+12	5.600254E+12	5.148162E+12
"SAM"	3.702186E+12	4.521646E+12	5.544686E+12	6.673381E+12	8.018822E+12	9.468440E+12	1.067147E+13	1.152553E+13	1.201287E+13	1.233491E+13	1.249273E+13	1.234667E+13	1.200023E+13	1.155469E+13	1.114928E+13	1.063793E+13	9.986698E+12	9.280454E+12	8.544603E+12
"SAS"	5.410703E+12	7.553578E+12	1.073033E+13	1.516097E+13	2.087490E+13	2.743961E+13	3.299690E+13	3.663917E+13	3.832022E+13	3.896803E+13	3.866898E+13	3.720579E+13	3.501343E+13	3.203466E+13	2.961809E+13	2.718776E+13	2.470805E+13	2.247219E+13	2.013527E+13
"SEA"	3.169370E+12	4.077669E+12	5.414936E+12	7.134310E+12	9.177798E+12	1.135011E+13	1.299130E+13	1.388945E+13	1.431836E+13	1.448732E+13	1.441454E+13	1.402942E+13	1.327033E+13	1.247829E+13	1.173030E+13	1.096177E+13	1.021493E+13	9.512828E+12	8.711761E+12
"CHI"	1.081553E+13	1.610054E+13	2.317041E+13	3.002520E+13	3.536360E+13	3.761180E+13	3.683029E+13	3.501402E+13	3.176657E+13	2.820926E+13	2.584092E+13	2.356657E+13	2.142726E+13	1.915090E+13	1.780761E+13	1.624405E+13	1.508428E+13	1.395615E+13	1.261411E+13
"NAF"	7.278454E+11	9.359566E+11	1.313009E+12	1.770721E+12	2.343506E+12	2.962473E+12	3.474579E+12	3.848628E+12	4.055850E+12	4.222436E+12	4.356869E+12	4.413168E+12	4.277199E+12	4.046242E+12	3.851461E+12	3.700451E+12	3.532554E+12	3.384508E+12	3.151924E+12
"SSA"	1.849353E+12	2.558062E+12	3.674278E+12	5.330044E+12	7.878430E+12	1.145532E+13	1.586388E+13	2.085376E+13	2.603984E+13	3.113011E+13	3.580408E+13	3.923410E+13	4.096730E+13	4.170926E+13	4.179246E+13	4.114118E+13	3.980821E+13	3.798570E+13	3.556077E+13
"SIS"	1.725963E+11	2.191703E+11	2.713784E+11	3.308040E+11	4.026558E+11	4.767431E+11	5.415022E+11	5.931022E+11	6.293934E+11	6.560675E+11	6.732377E+11	6.786459E+11	6.669665E+11	6.410422E+11	6.201138E+11	5.904677E+11	5.556405E+11	5.168918E+11	4.743761E+11

"Emissions by Region (Mt CO2)"
""	"2010"	"2015"	"2020"	"2025"	"2030"	"2035"	"2040"	"2045"	"2050"	"2055"	"2060"	"2065"	"2070"	"2075"	"2080"	"2085"	"2090"	"2095"	"2100"
"USA"	5434.00	5868.01	6507.91	6876.95	7173.61	7339.04	7324.42	7167.92	6894.06	6734.14	6614.01	6495.61	6200.19	5911.45	5663.90	5295.02	4943.31	4598.90	4208.72
"CAN"	545.20	614.79	689.05	721.60	759.74	818.64	864.12	891.84	896.42	897.96	915.52	930.48	926.19	888.79	846.22	780.50	708.06	650.95	597.14
"WEU"	3285.88	3351.13	3458.34	3510.00	3594.95	3688.92	3716.95	3656.97	3514.06	3378.07	3287.99	3164.42	2993.77	2764.22	2556.70	2350.36	2159.36	1984.68	1813.86
"JPK"	1627.24	1689.55	1741.30	1795.33	1812.44	1774.51	1676.31	1580.33	1460.47	1362.18	1239.79	1122.59	1014.20	896.23	796.06	704.85	620.34	544.60	478.80
"ANZ"	472.09	557.89	649.88	728.82	808.52	893.02	961.39	1018.29	1032.37	1037.02	1060.89	1063.40	1034.43	980.26	917.73	841.00	769.11	707.98	644.44
"EEU"	709.31	749.89	814.83	853.87	883.30	881.80	830.72	750.53	672.13	607.06	557.14	512.78	454.06	390.01	334.83	288.08	250.46	220.96	193.92
"FSU"	2213.32	2483.27	2759.60	3065.57	3332.73	3406.06	3189.99	2825.33	2422.17	2152.82	2011.49	1846.97	1589.60	1319.40	1128.18	979.51	866.09	759.83	637.80
"MDE"	1798.24	2259.33	2781.29	3282.06	3901.82	4409.57	4655.57	4716.27	4576.86	4408.93	4256.27	4009.85	3617.85	3184.51	2817.32	2451.89	2126.26	1817.59	1501.31
"CAM"	469.28	546.24	622.16	716.35	828.30	936.16	994.08	1017.93	1010.92	963.66	889.95	809.83	712.78	620.08	537.00	455.53	378.99	311.58	248.06
"SAM"	966.34	1121.65	1295.40	1464.74	1645.52	1804.88	1879.62	1866.78	1780.38	1663.79	1525.68	1360.30	1185.80	1016.96	870.98	733.56	605.02	491.18	392.82
"SAS"	1853.81	2462.72	3308.29	4389.33	5636.26	6865.24	7599.79	7721.64	7349.14	6768.17	6053.74	5222.57	4384.58	3546.99	2887.24	2329.57	1851.02	1464.04	1135.23
"SEA"	1233.10	1499.12	1866.36	2290.62	2723.14	3090.24	3225.16	3131.02	2926.31	2674.89	2395.17	2087.48	1760.15	1467.68	1220.36	1003.44	818.62	662.91	526.21
"CHI"	6822.47	9554.22	12862.33	15493.57	16859.59	16444.95	14670.84	12622.98	10296.42	8166.24	6637.20	5319.92	4221.00	3268.66	2614.66	2037.06	1604.04	1249.42	943.90
"NAF"	245.52	298.36	393.89	497.64	614.25	720.84	781.07	795.23	766.37	725.90	678.05	618.61	537.25	453.04	382.36	324.01	271.37	226.92	183.48
