"year","country","TATM","SLR","d_SLR","Area","pop","P_dens","P_growth","y_net","y_pc","y_pc_growth","y_dens","y_dens_growth","CD_potential","D_potential","D_actual","CD_actual","VD","pop_out","pop_in","migration_impact","W","CW","W_size","W_growth","VW","consump_term","NPVVP","NPVVW","NPVVD","Protection"
"2010","USA", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 9.1619660000E+06, 3.1224710000E+08, 3.4080796633E+01, 0.0000000000E+00, 1.3000000000E+13, 4.1633693315E+04, 0.0000000000E+00, 1.4189094349E+06, 0.0000000000E+00, 0.0000000000E+00, 1.0217568662E+04, 5.1087843308E+03, 5.1087843308E+03, 8.9380121886E+06, 1.7411143982E+05, 6.6919336957E+05, 3.2891103471E+10, 3.7270620000E+03, 3.7270620000E+03, 3.9101738000E+04,-8.7022330768E-02, 1.1852192742E+07, 3.0000000000E-02, 0.0000000000E+00, 2.2273394080E+12, 3.1354831944E+12, 5.0000000000E-01
"2010","CAN", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 9.0935070000E+06, 3.4126240000E+07, 3.7528139584E+00, 0.0000000000E+00, 1.1600000000E+12, 3.3991438846E+04, 0.0000000000E+00, 1.2756354617E+05, 0.0000000000E+00, 0.0000000000E+00, 7.1810849253E+02, 3.5905424626E+02, 3.5905424626E+02, 8.0354989710E+05, 1.3474637872E+03, 1.1882688593E+05, 1.7530454293E+09, 0.0000000000E+00, 0.0000000000E+00, 1.3050975000E+05, 0.0000000000E+00, 3.2881384805E+06, 3.0000000000E-02, 0.0000000000E+00, 0.0000000000E+00, 1.9811569515E+10, 5.0000000000E-01
"2010","ARG", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 2.7366900000E+06, 4.0374220000E+07, 1.4752938769E+01, 0.0000000000E+00, 5.5000000000E+11, 1.3622554194E+04, 0.0000000000E+00, 2.0097270791E+05, 0.0000000000E+00, 0.0000000000E+00, 1.9573465436E+03, 9.7867327181E+02, 9.7867327181E+02, 1.2659698136E+06, 1.4438306854E+04, 1.3102768111E+04, 6.6145712025E+08, 1.4878177032E+03, 1.4878177032E+03, 6.1213428106E+04,-2.3728678498E-02, 2.1720693307E+06, 3.0000000000E-02, 0.0000000000E+00, 1.2152651665E+11, 8.5075996271E+10, 5.0000000000E-01
"2010","ARM", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 2.9843000000E+04, 2.9634960000E+06, 9.9302885099E+01, 0.0000000000E+00, 1.6625216797E+10, 5.6100014297E+03, 0.0000000000E+00, 5.5708932738E+05, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 3.5092241095E+06, 0.0000000000E+00, 3.8524836355E+02, 8.6449754813E+05, 0.0000000000E+00, 0.0000000000E+00, 1.6559056681E+02, 0.0000000000E+00, 1.8966305491E+06, 3.0000000000E-02, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00
"2010","AUS", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 7.6335650000E+06, 2.2404490000E+07, 2.9349969510E+00, 0.0000000000E+00, 8.0200000000E+11, 3.5796396169E+04, 0.0000000000E+00, 1.0506231361E+05, 0.0000000000E+00, 0.0000000000E+00, 1.6120774192E+03, 8.0603870959E+02, 8.0603870959E+02, 6.6180984952E+05, 2.3657211550E+03, 1.2733494376E+05, 2.0773057122E+09, 1.0616019799E+02, 1.0616019799E+02, 5.3438603562E+04,-1.9826438766E-03, 3.1112694089E+06, 3.0000000000E-02, 0.0000000000E+00, 1.1423101312E+10, 3.6629845854E+10, 5.0000000000E-01
"2010","AUT", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 8.2445000000E+04, 8.4019240000E+06, 1.0190944266E+02, 0.0000000000E+00, 2.9500000000E+11, 3.5111005527E+04, 0.0000000000E+00, 3.5781430044E+06, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 2.2539483492E+07, 0.0000000000E+00, 1.1373181646E+04, 1.5972953746E+08, 0.0000000000E+00, 0.0000000000E+00, 2.1312368369E+03, 0.0000000000E+00, 1.6113451906E+07, 3.0000000000E-02, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00
"2010","AZE", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 8.6100000000E+04, 9.0947180000E+06, 1.0562970964E+02, 0.0000000000E+00, 8.1143375000E+10, 8.9220330966E+03, 0.0000000000E+00, 9.4243176539E+05, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 5.9365780497E+06, 0.0000000000E+00, 1.1822945691E+03, 4.2193885103E+06, 0.0000000000E+00, 0.0000000000E+00, 4.7774512624E+02, 0.0000000000E+00, 3.3444993812E+06, 3.0000000000E-02, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00
"2010","BDI", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 2.5680000000E+04, 9.2327530000E+06, 3.5953088006E+02, 0.0000000000E+00, 6.2922197270E+09, 6.8151067477E+02, 0.0000000000E+00, 2.4502413267E+05, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 1.5434591034E+06, 0.0000000000E+00, 8.2837850838E+03, 2.2581951848E+06, 0.0000000000E+00, 0.0000000000E+00, 3.5074634529E+02, 0.0000000000E+00, 3.0104950576E+05, 3.0000000000E-02, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00, 0.0000000000E+00
"2010","BEL", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 3.0278000000E+04, 1.0941290000E+07, 3.6136105423E+02, 0.0000000000E+00, 3.4900000000E+11, 3.1897518483E+04, 0.0000000000E+00, 1.1526520906E+07, 0.0000000000E+00, 0.0000000000E+00, 2.5337881203E+01, 1.2668940601E+01, 1.2668940601E+01, 7.2608005709E+07, 4.5780617317E+03, 1.4810569414E+04, 6.2705459076E+08, 9.5326463310E+00, 9.5326463310E+00, 7.7316598848E+02,-1.2179203983E-02, 2.6169140084E+07, 3.0000000000E-02, 0.0000000000E+00, 8.9651923893E+09, 6.3164167124E+10, 5.0000000000E-01
"2010","BEN", 8.0000000000E-01, 3.1600000000E-01, 0.0000000000E+00, 1.1062200000E+05, 9.5097980000E+06, 8.5966607004E+01, 0.0000000000E+00, 1.4102507813E+10, 1.4829450439E+03, 0.0000000000E+00, 1.2748375380E+05, 0.0000000000E+00, 0.0000000000E+00, 3.2272995432E+02, 1.6136497716E+02, 1.6136497716E+02, 8.0304726804E+05, 1.3871999576E+04, 8.5323546316E+03, 6.6775444266E+07, 5.6662560366E+01, 5.6662560366E+01, 1.4542510770E+03,-3.7502183422E-02, 3.8025918182E+05, 3.0000000000E-02, 0.0000000000E+00, 8.5770274821E+08, 8.8980810124E+09, 5.0000000000E-01
